"taxonID","locationID","locality","countryCode","occurrenceStatus","establishmentMeans","source"
"rinse-registry-checklist:taxon:0004cb53db5025e9a1e3bd964184594b","WGSRPD:GRB","Great Britain","GB","present","doubtful",
"rinse-registry-checklist:taxon:0004cb53db5025e9a1e3bd964184594b","ISO_3166-2:FR","France","FR","doubtful","introduced",
"rinse-registry-checklist:taxon:0004cb53db5025e9a1e3bd964184594b","ISO_3166-2:BE","Belgium","BE","doubtful","introduced",
"rinse-registry-checklist:taxon:0004cb53db5025e9a1e3bd964184594b","ISO_3166-2:NL","The Netherlands","NL","present","introduced",
"rinse-registry-checklist:taxon:000c0c47fcebbbfe254d606552ca0566","WGSRPD:GRB","Great Britain","GB","present","introduced",
"rinse-registry-checklist:taxon:000c0c47fcebbbfe254d606552ca0566","ISO_3166-2:FR","France","FR","present","introduced",
"rinse-registry-checklist:taxon:000c0c47fcebbbfe254d606552ca0566","ISO_3166-2:BE","Belgium","BE","doubtful","introduced",
"rinse-registry-checklist:taxon:000c0c47fcebbbfe254d606552ca0566","ISO_3166-2:NL","The Netherlands","NL","present","introduced",
"rinse-registry-checklist:taxon:001173e14c4c40b63e8dba82a17adf90","WGSRPD:GRB","Great Britain","GB","doubtful","introduced",
"rinse-registry-checklist:taxon:001173e14c4c40b63e8dba82a17adf90","ISO_3166-2:FR","France","FR","doubtful","introduced",
"rinse-registry-checklist:taxon:001173e14c4c40b63e8dba82a17adf90","ISO_3166-2:BE","Belgium","BE","present","introduced",
"rinse-registry-checklist:taxon:001173e14c4c40b63e8dba82a17adf90","ISO_3166-2:NL","The Netherlands","NL","doubtful","introduced",
"rinse-registry-checklist:taxon:001ad43eec311f1d1e680cc646405acf","WGSRPD:GRB","Great Britain","GB","present","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:001ad43eec311f1d1e680cc646405acf","ISO_3166-2:FR","France","FR","doubtful","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:001ad43eec311f1d1e680cc646405acf","ISO_3166-2:BE","Belgium","BE","present","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:001ad43eec311f1d1e680cc646405acf","ISO_3166-2:NL","The Netherlands","NL","doubtful","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:0025317e37e228d94bbdf7b69c6e8e77","WGSRPD:GRB","Great Britain","GB","present","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:0025317e37e228d94bbdf7b69c6e8e77","ISO_3166-2:FR","France","FR","doubtful","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:0025317e37e228d94bbdf7b69c6e8e77","ISO_3166-2:BE","Belgium","BE","doubtful","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:0025317e37e228d94bbdf7b69c6e8e77","ISO_3166-2:NL","The Netherlands","NL","doubtful","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:002ccd91ca366829d26fc9b06e354e0a","WGSRPD:GRB","Great Britain","GB","present","introduced",
"rinse-registry-checklist:taxon:002ccd91ca366829d26fc9b06e354e0a","ISO_3166-2:FR","France","FR","present","introduced",
"rinse-registry-checklist:taxon:002ccd91ca366829d26fc9b06e354e0a","ISO_3166-2:BE","Belgium","BE","present","introduced",
"rinse-registry-checklist:taxon:002ccd91ca366829d26fc9b06e354e0a","ISO_3166-2:NL","The Netherlands","NL","present","introduced",
"rinse-registry-checklist:taxon:002eb118f711bbbe2643ad19f05fdad4","WGSRPD:GRB","Great Britain","GB","present","introduced",
"rinse-registry-checklist:taxon:002eb118f711bbbe2643ad19f05fdad4","ISO_3166-2:FR","France","FR","present","introduced",
"rinse-registry-checklist:taxon:002eb118f711bbbe2643ad19f05fdad4","ISO_3166-2:BE","Belgium","BE","present","introduced",
"rinse-registry-checklist:taxon:002eb118f711bbbe2643ad19f05fdad4","ISO_3166-2:NL","The Netherlands","NL","present","introduced",
"rinse-registry-checklist:taxon:0033f4c581dc0daba3de372bdd6e05ab","WGSRPD:GRB","Great Britain","GB","doubtful","introduced",
"rinse-registry-checklist:taxon:0033f4c581dc0daba3de372bdd6e05ab","ISO_3166-2:FR","France","FR","doubtful","introduced",
"rinse-registry-checklist:taxon:0033f4c581dc0daba3de372bdd6e05ab","ISO_3166-2:BE","Belgium","BE","doubtful","introduced",
"rinse-registry-checklist:taxon:0033f4c581dc0daba3de372bdd6e05ab","ISO_3166-2:NL","The Netherlands","NL","present","introduced",
"rinse-registry-checklist:taxon:004980a873a9c89fd42e6d2f68c53afe","WGSRPD:GRB","Great Britain","GB","present","introduced",
"rinse-registry-checklist:taxon:004980a873a9c89fd42e6d2f68c53afe","ISO_3166-2:FR","France","FR","present","introduced",
"rinse-registry-checklist:taxon:004980a873a9c89fd42e6d2f68c53afe","ISO_3166-2:BE","Belgium","BE","present","introduced",
"rinse-registry-checklist:taxon:004980a873a9c89fd42e6d2f68c53afe","ISO_3166-2:NL","The Netherlands","NL","present","introduced",
"rinse-registry-checklist:taxon:004ae56e6e04dc3da766bebde3fe2c31","WGSRPD:GRB","Great Britain","GB","doubtful","introduced",
"rinse-registry-checklist:taxon:004ae56e6e04dc3da766bebde3fe2c31","ISO_3166-2:FR","France","FR","present","introduced",
"rinse-registry-checklist:taxon:004ae56e6e04dc3da766bebde3fe2c31","ISO_3166-2:BE","Belgium","BE","doubtful","introduced",
"rinse-registry-checklist:taxon:004ae56e6e04dc3da766bebde3fe2c31","ISO_3166-2:NL","The Netherlands","NL","doubtful","introduced",
"rinse-registry-checklist:taxon:006c704c046bf736c721e1923b8b2f19","WGSRPD:GRB","Great Britain","GB","doubtful","introduced",
"rinse-registry-checklist:taxon:006c704c046bf736c721e1923b8b2f19","ISO_3166-2:FR","France","FR","doubtful","introduced",
"rinse-registry-checklist:taxon:006c704c046bf736c721e1923b8b2f19","ISO_3166-2:BE","Belgium","BE","present","introduced",
"rinse-registry-checklist:taxon:006c704c046bf736c721e1923b8b2f19","ISO_3166-2:NL","The Netherlands","NL","doubtful","introduced",
"rinse-registry-checklist:taxon:006ec7ab8953dbba92f0fc3069905545","WGSRPD:GRB","Great Britain","GB","present","introduced",
"rinse-registry-checklist:taxon:006ec7ab8953dbba92f0fc3069905545","ISO_3166-2:FR","France","FR","present","introduced",
"rinse-registry-checklist:taxon:006ec7ab8953dbba92f0fc3069905545","ISO_3166-2:BE","Belgium","BE","doubtful","introduced",
"rinse-registry-checklist:taxon:006ec7ab8953dbba92f0fc3069905545","ISO_3166-2:NL","The Netherlands","NL","doubtful","introduced",
"rinse-registry-checklist:taxon:007b9a837704a1998f05fac0d26e7aeb","WGSRPD:GRB","Great Britain","GB","doubtful","introduced",
"rinse-registry-checklist:taxon:007b9a837704a1998f05fac0d26e7aeb","ISO_3166-2:FR","France","FR","present","introduced",
"rinse-registry-checklist:taxon:007b9a837704a1998f05fac0d26e7aeb","ISO_3166-2:BE","Belgium","BE","present","introduced",
"rinse-registry-checklist:taxon:007b9a837704a1998f05fac0d26e7aeb","ISO_3166-2:NL","The Netherlands","NL","doubtful","introduced",
"rinse-registry-checklist:taxon:007ba3f4a8fdbfc9eca3f7a949d576d4","WGSRPD:GRB","Great Britain","GB","present","introduced",
"rinse-registry-checklist:taxon:007ba3f4a8fdbfc9eca3f7a949d576d4","ISO_3166-2:FR","France","FR","present","introduced",
"rinse-registry-checklist:taxon:007ba3f4a8fdbfc9eca3f7a949d576d4","ISO_3166-2:BE","Belgium","BE","doubtful","introduced",
"rinse-registry-checklist:taxon:007ba3f4a8fdbfc9eca3f7a949d576d4","ISO_3166-2:NL","The Netherlands","NL","doubtful","introduced",
"rinse-registry-checklist:taxon:00832d077b2466c2fae8f0122235d373","WGSRPD:GRB","Great Britain","GB","present","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:00832d077b2466c2fae8f0122235d373","ISO_3166-2:FR","France","FR","doubtful","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:00832d077b2466c2fae8f0122235d373","ISO_3166-2:BE","Belgium","BE","doubtful","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:00832d077b2466c2fae8f0122235d373","ISO_3166-2:NL","The Netherlands","NL","doubtful","introduced","data based solely on DAISIE portal"
"rinse-registry-checklist:taxon:00835562eee1db78b345a6b0ff1358da","WGSRPD:GRB","Great Britain","GB","doubtful","introduced",
"rinse-registry-checklist:taxon:00835562eee1db78b345a6b0ff1358da","ISO_3166-2:FR","France","FR","present","introduced",
"rinse-registry-checklist:taxon:00835562eee1db78b345a6b0ff1358da","ISO_3166-2:BE","Belgium","BE","doubtful","introduced",
"rinse-registry-checklist:taxon:00835562eee1db78b345a6b0ff1358da","ISO_3166-2:NL","The Netherlands","NL","doubtful","introduced",
"rinse-registry-checklist:taxon:00871fb3bf9c821107a8d924ea590834","WGSRPD:GRB","Great Britain","GB","present","introduced",
